File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
ad3e904b-1dc2-4fd3-94c6-7bc5735e9d1a	TCGA-A2-A0YL-01A-02-TSB.12b73a8a-ac2d-4cd5-b8c2-de8fd1357dea.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A2-A0YL	TCGA-A2-A0YL-01A	Primary Tumor
e685ab55-e4cb-491c-bfc3-c634bc39d22c	TCGA-E9-A2JT-01A-02-TSB.7607FF14-463C-439C-AB91-0691679D0045.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-E9-A2JT	TCGA-E9-A2JT-01A	Primary Tumor
fa236778-1cac-417f-8ee7-f789aed920b9	TCGA-E9-A1NE-01A-02-TSB.f07c5332-4933-4459-a1cc-7fbdff4cf75d.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-E9-A1NE	TCGA-E9-A1NE-01A	Primary Tumor
0172bab1-1776-4f23-8ca0-9c7dc4a1793d	TCGA-C8-A1HE-01A-01-TSA.486b54ee-a535-4aca-a6b9-8dbc37181882.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-C8-A1HE	TCGA-C8-A1HE-01A	Primary Tumor
01d14351-27c8-424b-af71-3c1b88ad6897	TCGA-A8-A0AD-01A-01-BS1.bb944067-e1c7-495d-8d92-957340d3173e.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A8-A0AD	TCGA-A8-A0AD-01A	Primary Tumor
f74586de-5273-4573-acda-643d9a422c12	TCGA-AR-A2LO-01A-03-TSC.62917FFC-65A4-46A2-AED6-1E9B368023E2.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-AR-A2LO	TCGA-AR-A2LO-01A	Primary Tumor
bf8cfc7c-ff5a-4ee4-8734-e47f79fabead	TCGA-E9-A1NH-11A-01-TSA.7ceace8e-b80c-4746-97c5-06706f5c94aa.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-E9-A1NH	TCGA-E9-A1NH-11A	Solid Tissue Normal
5e0aad04-0978-45ec-a178-08363cb3924a	TCGA-A2-A25A-01A-01-TSA.e00dd3e2-e129-4dc6-84a4-5a6385e8bb29.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A2-A25A	TCGA-A2-A25A-01A	Primary Tumor
87b1e2e2-f989-4617-b723-7a639529c34f	TCGA-A2-A0T4-01A-03-TSC.60866100-7f22-4c86-a99e-5e52ca53c313.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A2-A0T4	TCGA-A2-A0T4-01A	Primary Tumor
7e220daa-329c-43ee-938d-07d566fb5d23	TCGA-A7-A26I-01B-06-BS6.E89976C5-6194-4D3A-82D3-1A8D1C3D88EF.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A7-A26I	TCGA-A7-A26I-01B	Primary Tumor
25907f44-2fc7-40e2-b11c-cfd888cc5813	TCGA-AC-A2FM-11B-02-TS2.A7F8DBD1-FE91-4133-8CED-739952CF6AFA.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-AC-A2FM	TCGA-AC-A2FM-11B	Solid Tissue Normal
d9f17d03-ecc6-4a5a-934d-6438641c976c	TCGA-E9-A249-01A-01-TSA.b0659a1b-2892-4680-9045-23445b67763f.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-E9-A249	TCGA-E9-A249-01A	Primary Tumor
ba26be0a-e5cf-4369-a28f-0895c6ffa297	TCGA-B6-A1KF-01A-01-TS1.dd8b55e7-823a-4805-b2df-8b20a3e94a55.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-B6-A1KF	TCGA-B6-A1KF-01A	Primary Tumor
1d85ee91-e92b-44b5-924f-c3fc834f841c	TCGA-BH-A0DS-01A-01-BSA.6f8197a1-4017-45c3-bba4-6c15da09c091.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-BH-A0DS	TCGA-BH-A0DS-01A	Primary Tumor
77ec0dc1-f516-4afa-b799-901a7814046a	TCGA-BH-A18R-11A-03-TSC.14aecef8-d2e7-46cb-9510-701e8650976b.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-BH-A18R	TCGA-BH-A18R-11A	Solid Tissue Normal
3943f22f-649f-4828-9065-e125dc522b3a	TCGA-S3-A6ZF-01A-03-TS3.2DE8CF7F-0109-42C3-8C05-4D708BBE19F6.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-S3-A6ZF	TCGA-S3-A6ZF-01A	Primary Tumor
1758ba8f-8165-470b-8314-59aa5dde377b	TCGA-AO-A12B-01A-01-BSA.ec654e0e-2adc-488b-8653-acbf6164419e.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-AO-A12B	TCGA-AO-A12B-01A	Primary Tumor
a3008c75-814b-40f6-8e8b-b80cdc6558e8	TCGA-EW-A1OW-01A-02-TSB.fa679090-1580-4a00-88b9-b218030a0e09.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-EW-A1OW	TCGA-EW-A1OW-01A	Primary Tumor
5483d70a-dd02-44ae-ac53-7e88b2ab3022	TCGA-A7-A4SC-11A-03-TS3.A0F0DF70-73C8-446D-A44B-9286D6CF68C7.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A7-A4SC	TCGA-A7-A4SC-11A	Solid Tissue Normal
f4fd03e1-0e2b-4095-aa24-f50dcddd54e5	TCGA-A7-A4SC-11A-01-TS1.13FFE397-0BFB-4372-A345-FE1E4A92095A.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A7-A4SC	TCGA-A7-A4SC-11A	Solid Tissue Normal
a1564975-2957-4a72-8e76-d1500c304b06	TCGA-E2-A107-01A-01-BS1.93a8f306-c647-4578-bbfb-a3dbdaa3df8d.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-E2-A107	TCGA-E2-A107-01A	Primary Tumor
3a43d25c-56a3-446d-b16e-341d93b50d03	TCGA-B6-A40C-01A-01-TS1.8B901E88-9348-4988-9F69-C130D7D8E78E.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-B6-A40C	TCGA-B6-A40C-01A	Primary Tumor
fda8af86-6adc-4dda-9842-4d75a78e9bc1	TCGA-E2-A2P5-01A-01-TS1.881A6B1B-6825-4D7A-828C-D4A0FCC5BAE1.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-E2-A2P5	TCGA-E2-A2P5-01A	Primary Tumor
a6213fc8-9147-4e83-ba76-42979b01b494	TCGA-A2-A0CM-01A-03-TSC.7f2cc1ed-793e-4717-92fd-da1aa4424aed.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A2-A0CM	TCGA-A2-A0CM-01A	Primary Tumor
faa2a741-b0f2-4060-86a3-fb3c574886c7	TCGA-D8-A1X5-01A-01-TS1.e4f88a16-b740-4abe-adbc-a7f937612512.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-D8-A1X5	TCGA-D8-A1X5-01A	Primary Tumor
082da80f-bee4-4693-b3b6-85f2e632ea37	TCGA-AR-A1AR-01A-03-TSC.3013e9be-aa3e-4986-990c-559982f00e36.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-AR-A1AR	TCGA-AR-A1AR-01A	Primary Tumor
40690050-ac97-481b-ad45-e5e39e797857	TCGA-BH-A0H7-11A-01-TSA.b0c24f6d-430a-4d6f-806f-c2675123471b.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-BH-A0H7	TCGA-BH-A0H7-11A	Solid Tissue Normal
